epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,704.735,1.4688,0.83488,1.19828,0.61917,0.33824,0.3671,0.17002,1.84203,inf,1.36111,0.000973861,0.000973861,0.000973861
44,714.79,1.47601,0.84988,1.21847,0.60592,0.3315,0.37506,0.15798,1.87553,inf,1.36233,0.000957358,0.000957358,0.000957358
45,729.398,1.47786,0.83539,1.21785,0.61785,0.31801,0.35998,0.16625,1.79131,inf,1.31867,0.000940855,0.000940855,0.000940855
46,757.597,1.44737,0.81707,1.18891,0.60584,0.33263,0.35809,0.1607,1.84729,inf,1.35032,0.000924352,0.000924352,0.000924352
47,816.294,1.44706,0.81578,1.20096,0.63422,0.32629,0.36408,0.16325,1.84938,inf,1.33741,0.000907848,0.000907848,0.000907848
48,834.657,1.44286,0.82571,1.20644,0.63539,0.34003,0.37153,0.16803,1.82834,inf,1.36272,0.000891345,0.000891345,0.000891345
49,895.353,1.42538,0.81246,1.19705,0.62602,0.32682,0.35193,0.13231,1.997,inf,1.4233,0.000874842,0.000874842,0.000874842
50,914.461,1.4485,0.8189,1.20569,0.62417,0.30383,0.36415,0.16479,1.85951,inf,1.34053,0.000858338,0.000858338,0.000858338
51,923.953,1.46261,0.83961,1.21427,0.62206,0.33866,0.35824,0.15912,1.82085,inf,1.34982,0.000841835,0.000841835,0.000841835
52,933.803,1.42043,0.80995,1.18674,0.61335,0.33232,0.36134,0.16785,1.76669,inf,1.29331,0.000825332,0.000825332,0.000825332
53,943.668,1.41644,0.81293,1.19171,0.63056,0.33012,0.36916,0.17272,1.80022,inf,1.32408,0.000808828,0.000808828,0.000808828
54,964.067,1.39602,0.79473,1.18941,0.59813,0.33411,0.35474,0.14514,1.88834,inf,1.42216,0.000792325,0.000792325,0.000792325
55,975.817,1.42273,0.79066,1.1831,0.6291,0.32104,0.35601,0.15063,1.85305,inf,1.35855,0.000775822,0.000775822,0.000775822
56,1011.05,1.40941,0.8002,1.1768,0.59936,0.33096,0.36765,0.1734,1.80637,inf,1.34033,0.000759318,0.000759318,0.000759318
57,1021.56,1.33781,0.76759,1.16513,0.63049,0.33989,0.36602,0.17405,1.76067,inf,1.31132,0.000742815,0.000742815,0.000742815
58,1031.81,1.34513,0.76625,1.1487,0.61232,0.32668,0.35088,0.14998,1.85703,inf,1.36551,0.000726312,0.000726312,0.000726312
59,1044.13,1.37978,0.7795,1.17867,0.63213,0.33398,0.36024,0.16515,1.77926,inf,1.32024,0.000709809,0.000709809,0.000709809
60,1060.77,1.40024,0.78809,1.17416,0.6395,0.33577,0.36066,0.16905,1.75956,inf,1.30772,0.000693305,0.000693305,0.000693305
61,1085.95,1.38528,0.78164,1.18442,0.64324,0.33797,0.37007,0.18457,1.71121,inf,1.29302,0.000676802,0.000676802,0.000676802
62,1097.76,1.36625,0.79004,1.1667,0.62874,0.32062,0.35936,0.1624,1.81016,inf,1.3321,0.000660299,0.000660299,0.000660299
63,1108.37,1.37871,0.75326,1.15187,0.61764,0.31755,0.3586,0.17289,1.75956,inf,1.30942,0.000643795,0.000643795,0.000643795
